string,duration_1,duration_2,duration_3,duration_4,duration_5,duration_6,duration_7,duration_8,duration_9,duration_10,duration_11,duration_12,duration_13
XAQAQ,86,61,639,206,630,,,,,,,,
XAQMCENP,100,117,303,292,191,196,135,231,,,,,
XAQMCENJP,87,109,399,321,180,135,131,389,104,,,,
XAQM,114,101,302,295,,,,,,,,,
SHPCB,96,190,232,225,315,,,,,,,,
MSRPCB,212,94,106,252,267,376,,,,,,,
XAQAQAQA,72,116,315,181,646,177,660,91,,,,,
TMCB,487,177,314,220,,,,,,,,,
TMCB,517,136,215,355,,,,,,,,,
XAQA,117,104,470,269,,,,,,,,,
MSRPCB,206,105,137,231,215,373,,,,,,,
MUCEJP,232,115,202,271,183,171,,,,,,,
MSRPCB,234,107,113,249,214,196,,,,,,,
MSHPCENJP,215,103,142,240,188,154,136,221,173,,,,
XAQAQ,99,126,700,242,432,,,,,,,,
TMCB,557,597,241,1082,,,,,,,,,
MSRNPCENJP,241,82,108,106,285,173,153,134,218,244,,,
TMCB,473,133,204,239,,,,,,,,,
MSHRNP,216,101,180,25,106,224,,,,,,,
MSHNPCB,252,101,184,108,218,203,189,,,,,,
XAQAQ,73,116,369,198,516,,,,,,,,
MSHJP,167,95,181,273,195,,,,,,,,
TMCENPCB,465,152,188,156,106,277,189,88,,,,,
MSHRPCB,194,87,31,109,221,261,211,,,,,,
XAQAQAQA,100,107,410,196,704,194,599,107,,,,,
MSHRPCB,182,111,34,91,211,238,113,,,,,,
MSHRPCB,225,103,110,92,295,211,427,,,,,,
MSHRPCB,206,114,21,111,302,215,97,,,,,,
TM,457,618,,,,,,,,,,,
XAQA,75,79,732,179,,,,,,,,,
QAQ,691,200,338,,,,,,,,,,
MSHNPC,212,126,199,58,313,192,,,,,,,
TMCB,465,138,200,331,,,,,,,,,
MSRPCB,199,115,133,245,233,454,,,,,,,
MCB,305,211,345,,,,,,,,,,
MUCENP,219,108,148,132,128,258,,,,,,,
XAQAQ,76,137,845,190,497,,,,,,,,
XAQMCB,59,117,454,332,256,697,,,,,,,
TMCBP,531,120,192,219,109,,,,,,,,
MUCENP,197,107,205,156,137,200,,,,,,,
MSRPCENJP,193,108,105,250,193,157,123,444,102,,,,
XAQMUCENP,77,94,234,318,138,151,118,135,164,,,,
TMCB,442,138,230,206,,,,,,,,,
XAQMCB,79,93,415,261,194,221,,,,,,,
XAQMG,90,108,334,293,62,,,,,,,,
TMCB,586,186,206,449,,,,,,,,,
XAQAQ,88,112,799,216,506,,,,,,,,
AQ,256,255,,,,,,,,,,,
XAQMCENP,89,123,262,330,151,115,138,255,,,,,
XAQM,96,121,515,334,,,,,,,,,
XAQAQAQAQAQ,71,120,773,193,542,210,458,178,380,180,245,,
MSRNPCENJP,243,105,132,105,226,156,174,110,268,240,,,
MSRPUT,207,86,94,270,114,535,,,,,,,
XAQAQAQ,61,117,547,195,659,162,118,,,,,,
XAQMCB,90,130,237,328,186,424,,,,,,,
TMCB,435,176,230,119,,,,,,,,,
MSHJP,215,85,192,152,246,,,,,,,,
XAQAQ,78,108,377,164,135,,,,,,,,
MUMCB,184,129,444,177,432,,,,,,,,
MSHJP,193,113,150,190,171,,,,,,,,
XAQMCENP,61,122,350,339,187,150,108,218,,,,,
XAQAQ,91,115,466,193,710,,,,,,,,
AQA,181,577,130,,,,,,,,,,
XAQMCB,93,132,226,306,216,206,,,,,,,
XAQAQAQ,86,109,583,171,599,185,261,,,,,,
MSRPCB,333,84,131,243,242,196,,,,,,,
XAQMCB,86,125,368,258,261,481,,,,,,,
XAQAQ,115,128,300,171,362,,,,,,,,
XAQAQAQ,59,88,737,181,533,169,269,,,,,,
XAQMCB,86,126,211,303,228,208,,,,,,,
XAQAQAQA,86,141,803,149,734,233,546,99,,,,,
TMCB,508,157,206,206,,,,,,,,,
MUCENJP,218,112,202,131,130,231,125,,,,,,
TMCB,430,174,212,264,,,,,,,,,
XAQMCENP,77,114,307,290,192,132,128,291,,,,,
XAQM,89,107,202,717,,,,,,,,,
TB,515,378,,,,,,,,,,,
XAQAQ,104,137,1101,216,113,,,,,,,,
SHNPCB,110,188,103,290,210,202,,,,,,,
MUCB,209,102,177,370,,,,,,,,,
TB,567,601,,,,,,,,,,,
MSHNP,195,123,193,127,254,,,,,,,,
MSRPB,217,97,110,253,431,,,,,,,,
MSRPCB,292,92,159,224,176,98,,,,,,,
MUCB,211,103,226,811,,,,,,,,,
XAQAQAQ,88,112,423,155,614,156,24,,,,,,
MSRNPCB,218,106,126,134,255,190,362,,,,,,
XAQM,86,120,444,312,,,,,,,,,
TMCB,468,137,192,244,,,,,,,,,
MSRPCB,154,102,115,270,174,151,,,,,,,
XAQAQ,88,136,1105,194,341,,,,,,,,
MSRPCB,221,94,135,258,203,322,,,,,,,
TB,620,424,,,,,,,,,,,
MSHJP,187,96,185,204,199,,,,,,,,
XAQMCENP,121,100,313,298,206,156,130,172,,,,,
MSHP,355,114,237,264,,,,,,,,,
MSRPCB,274,94,180,250,186,732,,,,,,,
TMQAQ,919,145,214,153,252,,,,,,,,
MSHJP,205,93,187,166,251,,,,,,,,
TMCB,503,179,163,250,,,,,,,,,
MSRNPCENJP,168,90,129,104,259,143,229,135,182,198,,,
TB,606,467,,,,,,,,,,,
XAQAQAQA,88,143,633,235,486,177,780,128,,,,,
XAQAQ,88,120,533,185,545,,,,,,,,
XAQMCB,87,129,272,271,221,112,,,,,,,
XAQAQA,90,101,445,160,670,33,,,,,,,
MSHJP,176,105,152,237,190,,,,,,,,
