string,duration_1,duration_2,duration_3,duration_4,duration_5,duration_6,duration_7,duration_8,duration_9,duration_10,duration_11,duration_12,duration_13
TMCENPCB,507,180,149,149,169,226,227,213,,,,,
MSHJP,242,97,237,168,245,,,,,,,,
MCENP,264,239,147,156,225,,,,,,,,
MSRPCB,224,101,131,269,209,441,,,,,,,
XAQA,86,104,630,71,,,,,,,,,
XAQAQ,98,143,520,212,188,,,,,,,,
MUTMTMCB,166,89,209,199,195,242,236,398,,,,,
XAQAQAQ,105,152,861,180,774,243,215,,,,,,
MSRPCB,206,94,86,251,202,221,,,,,,,
TMCB,492,347,220,390,,,,,,,,,
MSRPC,179,103,109,238,192,,,,,,,,
SRPCENP,100,109,300,230,133,135,287,,,,,,
XAQAQ,84,65,625,220,628,,,,,,,,
XAQMCENP,100,115,300,296,190,198,132,229,,,,,
XAQMCENJP,87,114,393,320,182,134,128,392,104,,,,
SHPCB,99,190,231,227,311,,,,,,,,
MSRPCB,213,95,110,247,274,372,,,,,,,
XAQAQAQA,70,123,312,186,640,178,664,84,,,,,
TMCB,479,181,307,226,,,,,,,,,
TMCB,512,139,213,354,,,,,,,,,
XAQA,115,114,462,272,,,,,,,,,
MSRXCB,206,104,139,230,215,370,,,,,,,
TCEJP,327,203,278,176,171,,,,,,,,
MSRPCB,239,105,114,251,214,193,,,,,,,
MRHPCENJP,216,103,141,242,190,151,133,223,174,,,,
XAQAQ,93,128,701,236,433,,,,,,,,
TMCB,557,597,241,1080,,,,,,,,,
MSRNPCENJP,239,81,110,105,283,176,151,134,219,245,,,
TMCB,471,136,203,236,,,,,,,,,
MSHNP,213,106,177,131,224,,,,,,,,
MSHNPCB,248,103,180,111,221,200,190,,,,,,
XAQAQ,73,128,362,194,513,,,,,,,,
MSHJP,161,96,179,275,192,,,,,,,,
TMCENPCB,456,155,185,158,103,282,185,91,,,,,
MSHRPCB,195,82,31,111,224,260,209,,,,,,
XAQAQAQA,104,106,412,184,712,197,608,96,,,,,
MSHRPCB,183,115,32,88,210,241,110,,,,,,
MSHRPCB,219,103,112,88,299,211,426,,,,,,
MSRPCB,206,115,129,301,215,94,,,,,,,
TM,458,616,,,,,,,,,,,
XAQAQAQ,77,74,738,187,681,195,343,,,,,,
MSHNPC,210,131,197,63,308,192,,,,,,,
TMCB,464,140,205,324,,,,,,,,,
MSRPCB,195,116,137,242,231,453,,,,,,,
MCB,309,201,352,,,,,,,,,,
MUCENP,217,111,147,134,128,255,,,,,,,
XAQAQ,76,144,838,197,488,,,,,,,,
XAQMCB,60,117,460,324,258,696,,,,,,,
TMCBP,531,120,189,221,110,,,,,,,,
MUCEHP,194,109,205,157,135,197,,,,,,,
MSRPCENJP,196,106,105,251,192,155,127,443,99,,,,
XAQMUCENP,73,105,235,313,133,150,119,134,167,,,,
TMCB,438,141,234,199,,,,,,,,,
XAQMCB,78,97,411,262,194,220,,,,,,,
MSRP,218,104,112,262,,,,,,,,,
MCB,277,195,283,,,,,,,,,,
XAQM,91,109,328,363,,,,,,,,,
TMCB,587,192,203,450,,,,,,,,,
XAQAQAQ,86,119,792,226,504,245,257,,,,,,
XAQMCENP,83,130,264,323,151,119,140,251,,,,,
XAQM,90,124,511,332,,,,,,,,,
XAQAQAQAQAQ,68,123,768,194,545,214,445,186,371,203,224,,
MSRNPCENJP,243,106,128,106,229,156,172,111,265,237,,,
MSRPUT,208,87,94,272,114,532,,,,,,,
XAQAQAQ,64,113,546,198,656,163,119,,,,,,
XAQMCB,89,130,244,320,186,421,,,,,,,
MUMCB,314,120,175,229,120,,,,,,,,
MSHJP,215,87,189,153,248,,,,,,,,
XAQAQMUMCB,82,108,376,160,182,237,127,446,176,432,,,
MSHJP,191,112,153,188,171,,,,,,,,
XAQMCENP,65,120,347,340,186,151,106,223,,,,,
XAQAQAQA,85,116,468,192,717,196,558,125,,,,,
XAQMCB,90,134,231,301,218,200,,,,,,,
XAQAQAQ,86,105,588,171,599,175,262,,,,,,
MSRPCB,335,84,134,236,248,190,,,,,,,
XAQMCB,90,127,367,255,257,479,,,,,,,
XAQAQ,116,128,300,172,357,,,,,,,,
XAQAQAQ,60,91,725,200,517,189,254,,,,,,
XAQMCB,87,129,200,311,227,205,,,,,,,
XAQAQAQA,86,142,801,152,730,245,539,95,,,,,
TMCB,508,155,208,208,,,,,,,,,
MUCENJP,211,115,201,132,129,227,128,,,,,,
TMCB,429,173,215,260,,,,,,,,,
XAQMCENP,75,115,314,284,189,134,130,286,,,,,
XAQM,84,110,202,712,,,,,,,,,
TB,516,376,,,,,,,,,,,
XAQAQ,99,138,1099,218,112,,,,,,,,
SHNPCB,116,189,107,286,207,203,,,,,,,
MUCB,211,102,176,368,,,,,,,,,
TB,567,600,,,,,,,,,,,
MSHNP,192,124,190,130,252,,,,,,,,
MSRPB,216,100,108,252,430,,,,,,,,
MSHNP,250,103,169,96,116,,,,,,,,
MSRPCB,287,93,162,222,177,100,,,,,,,
MSHRP,313,113,35,133,216,,,,,,,,
MUCB,215,100,222,812,,,,,,,,,
XAQAQA,86,116,415,161,614,177,,,,,,,
MSRNPCB,215,109,124,131,257,190,359,,,,,,
XAQM,90,122,436,320,,,,,,,,,
MCB,536,200,230,,,,,,,,,,
TMCB,470,136,194,242,,,,,,,,,
MSRPCB,150,105,117,267,174,153,,,,,,,
XAQAQ,90,136,1105,190,344,,,,,,,,
MSRPCB,224,97,129,260,204,320,,,,,,,
TB,616,419,,,,,,,,,,,
MSHJP,191,93,186,204,195,,,,,,,,
XAQMCEHP,116,104,310,296,204,158,130,169,,,,,
MSHP,355,109,238,262,,,,,,,,,
MSRPCB,271,93,183,247,190,728,,,,,,,
TQAQ,1061,219,152,247,,,,,,,,,
MSHJP,201,98,186,169,244,,,,,,,,
TMCB,500,182,164,247,,,,,,,,,
MSRNPCENJP,171,95,120,106,261,143,228,132,184,199,,,
TB,601,461,,,,,,,,,,,
XAQAQAQA,90,148,622,247,481,190,760,134,,,,,
XAQAQ,87,126,519,207,528,,,,,,,,
XAQMCB,95,127,262,278,224,107,,,,,,,
XAQ,100,106,504,,,,,,,,,,
XAQAQ,86,109,432,177,692,,,,,,,,
MSHJP,171,103,151,240,189,,,,,,,,
MUCENPCB,232,110,202,170,122,224,175,124,,,,,
MSHP,233,139,269,216,,,,,,,,,
TB,633,443,,,,,,,,,,,
XAQMCENP,90,135,237,305,150,151,131,241,,,,,
XAQAQAQAQ,106,139,718,158,628,231,883,235,99,,,,
MSRPCENPCB,191,146,131,303,178,158,132,241,185,234,,,
MSHRPCENPCB,226,114,64,114,230,138,137,129,294,234,121,,
TB,621,253,,,,,,,,,,,
MSHNP,196,106,224,105,246,,,,,,,,
XAQMCENPCB,87,110,422,301,205,310,107,232,217,98,,,
SHPCB,112,272,216,215,199,,,,,,,,
MUTCB,276,137,263,288,285,,,,,,,,
