string,duration_1,duration_2,duration_3,duration_4,duration_5,duration_6,duration_7,duration_8,duration_9,duration_10,duration_11,duration_12,duration_13,duration_14,duration_15,duration_16,duration_17,duration_18
BTUS,453,151,277,937,,,,,,,,,,,,,,
GXGFHDNTUWU,600,249,78,157,244,66,275,181,115,115,131,,,,,,,
MYFH,360,343,174,122,,,,,,,,,,,,,,
GXGFHXSIL,510,268,100,135,337,315,154,775,89,,,,,,,,,
MYFHRDNTUWUSZ,298,261,132,70,130,95,234,175,138,105,83,144,64,,,,,
BTUWUSIL,387,507,157,136,111,171,315,122,,,,,,,,,,
MYFHXGE,545,176,193,216,278,121,132,,,,,,,,,,,
RDNMUWUSZ,121,85,183,90,139,109,99,159,111,,,,,,,,,
BTNMNUWU,388,144,304,54,256,123,120,137,,,,,,,,,,
BTNU,651,200,109,126,,,,,,,,,,,,,,
BTNUWUWU,567,196,122,150,114,361,110,147,,,,,,,,,,
MYFHYGEL,244,281,190,327,257,141,228,167,,,,,,,,,,
MYEL,467,124,178,826,,,,,,,,,,,,,,
MYFHXS,771,169,401,203,764,219,,,,,,,,,,,,
RGXGFHXSFX,125,581,267,89,141,193,270,99,28,827,,,,,,,,
GXGFHXGHXSI,737,197,107,118,338,244,161,227,274,172,138,,,,,,,
DNTUS,80,206,148,255,545,,,,,,,,,,,,,
BTUSIL,705,200,228,180,132,118,,,,,,,,,,,,
GXGFHXSI,639,253,77,121,338,296,110,112,,,,,,,,,,
BTUWUWUWUWU,367,206,147,111,358,148,373,106,521,103,105,,,,,,,
RGXGFHRDNUS,139,581,236,110,161,210,156,117,159,191,801,,,,,,,
GXGFHDNMUS,419,343,94,113,371,93,133,97,219,268,,,,,,,,
DNUWUS,86,188,150,105,147,882,,,,,,,,,,,,
GXGEL,615,264,113,181,586,,,,,,,,,,,,,
DNTUWUSZ,98,193,259,118,92,111,135,1045,,,,,,,,,,
MYFHXGFHXGH,282,259,190,249,264,105,163,170,252,105,40,,,,,,,
BTNUWU,393,172,146,113,129,251,,,,,,,,,,,,
BTUWU,336,270,308,92,213,,,,,,,,,,,,,
MYFHDNUWUSXSEL,239,190,142,230,121,280,123,81,85,169,277,183,126,91,,,,
BTYEL,430,133,157,174,134,,,,,,,,,,,,,
BTNUWU,319,193,158,104,113,265,,,,,,,,,,,,
MYFHDNTUWU,487,232,164,83,126,193,126,279,84,367,,,,,,,,
BTUWUW,311,169,144,101,327,108,,,,,,,,,,,,
MYFHXGFHXSIL,362,223,132,163,251,131,136,170,278,143,193,94,,,,,,
MYFHRDNT,374,285,147,164,127,96,213,128,,,,,,,,,,
BTUWU,334,218,301,97,95,,,,,,,,,,,,,
MYFHEDNTUWU,248,261,90,110,118,81,152,130,286,102,82,,,,,,,
MYFHDNUSX,528,216,133,116,94,268,268,107,274,,,,,,,,,
MYFHDNTUS,454,272,128,160,89,216,81,250,311,,,,,,,,,
BTU,429,264,309,,,,,,,,,,,,,,,
MYFH,206,290,176,152,,,,,,,,,,,,,,
BTUWU,296,255,308,111,201,,,,,,,,,,,,,
SIL,168,591,92,,,,,,,,,,,,,,,
BTUWU,312,208,294,95,118,,,,,,,,,,,,,
MYFHXSI,379,287,134,238,255,133,173,,,,,,,,,,,
BTUWU,342,155,333,107,139,,,,,,,,,,,,,
MYEL,413,169,265,170,,,,,,,,,,,,,,
BTUWU,324,210,284,93,202,,,,,,,,,,,,,
MYFHXGE,379,169,155,246,250,122,94,,,,,,,,,,,
MYEL,368,192,289,146,,,,,,,,,,,,,,
BTUW,346,232,310,113,,,,,,,,,,,,,,
BTNU,425,162,142,120,,,,,,,,,,,,,,
MYFHXGHXSI,252,292,174,208,261,134,216,259,135,174,,,,,,,,
MYEL,285,177,376,182,,,,,,,,,,,,,,
BTUW,353,352,157,71,,,,,,,,,,,,,,
BTUWU,415,340,336,101,110,,,,,,,,,,,,,
MYFHXGFHXGFHDNMNU,372,249,155,206,247,96,161,168,288,105,121,158,83,134,81,148,130,
BTU,312,246,316,,,,,,,,,,,,,,,
BTUWUWU,254,173,325,105,242,137,159,,,,,,,,,,,
MYFHXGFHXSIL,435,290,149,209,291,104,181,140,279,139,243,90,,,,,,
MYFHRDNUSIL,279,325,148,120,130,82,265,291,116,222,88,,,,,,,
MYFHXGEL,221,290,169,212,245,133,182,103,,,,,,,,,,
BTU,373,192,339,,,,,,,,,,,,,,,
MYEL,519,156,279,138,,,,,,,,,,,,,,
BTU,460,219,330,,,,,,,,,,,,,,,
MYFHRDNUWUSFX,212,172,176,156,118,79,249,124,107,106,120,31,195,,,,,
BTUS,449,407,261,210,,,,,,,,,,,,,,
BTNMNMNMNUWU,355,129,329,40,242,56,423,46,322,105,109,149,,,,,,
MYFHDNTU,278,274,191,155,86,198,250,86,,,,,,,,,,
MYFHXGE,317,292,133,129,256,145,100,,,,,,,,,,,
MYFHXSIL,233,308,153,162,321,122,172,99,,,,,,,,,,
MYEL,492,179,305,133,,,,,,,,,,,,,,
BTNMNUWU,408,241,301,54,193,121,85,152,,,,,,,,,,
MYFHXGE,197,272,156,243,247,120,138,,,,,,,,,,,
MYFHDNT,251,290,172,197,68,208,154,,,,,,,,,,,
BTUWUWUWU,321,661,320,104,253,132,647,104,292,,,,,,,,,
BTNUWUSFXGH,439,157,124,130,107,174,50,27,279,112,161,,,,,,,
MYFHXGHXSI,473,268,171,166,273,100,182,562,147,202,,,,,,,,
BTNUWUSFXSI,454,174,130,137,104,172,97,28,255,211,125,,,,,,,
MYFHXSIL,543,296,127,209,239,148,195,120,,,,,,,,,,
MYEL,421,136,316,286,,,,,,,,,,,,,,
MYFHXSIL,409,272,126,249,243,149,198,91,,,,,,,,,,
MYEL,346,196,305,953,,,,,,,,,,,,,,
MYEL,533,175,254,325,,,,,,,,,,,,,,
MYFHXGEL,199,266,190,205,232,91,166,135,,,,,,,,,,
MYELEL,518,157,168,296,103,396,,,,,,,,,,,,
BTUWUWU,351,383,277,123,553,119,117,,,,,,,,,,,
MYEL,530,239,178,686,,,,,,,,,,,,,,
BTUSZ,483,156,241,150,630,,,,,,,,,,,,,
MYFHXSIL,195,283,157,268,252,137,218,90,,,,,,,,,,
BTUWUWU,341,306,338,107,560,136,157,,,,,,,,,,,
BTNMNMNUWU,373,165,295,52,255,42,363,93,96,125,,,,,,,,
RGXGFHDNT,123,404,229,109,117,202,79,225,207,,,,,,,,,
BTUS,370,167,317,631,,,,,,,,,,,,,,
BTNUWU,358,378,259,127,111,161,,,,,,,,,,,,
MYFHDNUWUSFXS,242,195,167,234,57,844,123,101,119,124,34,251,194,,,,,
